20 20 020
B 0 6 0
L 0 12 0
G 0 19 0
M 1 0 0
W 1 3 0
B 1 19 0
W 2 2 0
W 2 4 0
O 2 11 0
A 2 12 0
A 2 14 0
Z 3 4 0
M 3 5 0
W 3 10 0
L 4 2 0
J 4 11 0
J 4 17 0
J 5 6 0
L 5 12 0
W 5 17 0
A 6 2 0
Z 6 3 0
L 6 8 0
Z 6 9 0
M 7 1 0
L 7 18 0
Z 8 5 0
B 9 1 0
O 9 4 0
M 9 6 0
W 9 9 0
B 9 14 0
O 9 15 0
A 10 4 0
W 10 8 0
Z 10 11 0
J 10 15 0
O 10 19 0
M 11 6 0
M 11 15 0
O 11 17 0
W 12 0 0
A 12 3 0
O 12 4 0
G 12 6 0
G 12 8 0
Z 12 19 0
A 13 0 0
G 13 10 0
A 13 13 0
G 13 15 0
O 14 3 0
L 14 8 0
G 14 10 0
A 14 11 0
H 14 13 0
B 14 14 0
G 14 15 0
J 15 1 0
L 15 7 0
Z 16 8 0
Z 17 0 0
G 17 12 0
O 18 0 0
B 18 10 0
J 18 11 0
M 18 12 0
B 18 13 0
J 19 3 0
L 19 4 0
M 19 13 0
B 19 16 0
