10 10 2420
M 0 0 10
M 0 1 15
M 0 2 9
M 0 3 7
M 0 4 2
M 0 5 2
M 1 0 16
M 1 1 13
M 1 2 11
H 1 3 24
M 1 4 7
M 1 8 4
M 2 0 16
M 2 1 16
M 2 2 13
M 2 3 12
M 2 4 12
B 2 6 24
M 3 0 15
M 3 1 19
M 3 2 20
M 3 3 18
M 3 4 13
M 3 5 1
M 3 8 1
B 3 9 24
M 4 0 15
M 4 1 17
M 4 2 22
M 4 3 21
M 4 4 17
M 4 5 17
M 4 6 15
M 4 7 11
M 4 8 1
M 4 9 1
M 5 0 16
M 5 1 18
M 5 2 18
M 5 3 23
M 5 4 23
M 5 5 23
M 5 6 15
M 5 7 10
M 5 8 8
M 5 9 6
J 6 0 20
M 6 1 18
M 6 2 18
M 6 3 21
J 6 4 24
M 6 5 24
M 6 6 14
M 6 7 10
M 6 8 7
M 6 9 5
J 7 0 24
J 7 1 24
M 7 2 18
M 7 3 19
M 7 4 23
J 7 5 18
M 7 6 12
M 7 7 9
M 7 8 6
M 7 9 4
J 8 0 17
M 8 1 14
J 8 2 16
M 8 3 18
M 8 4 16
M 8 5 11
J 8 6 11
M 8 7 9
M 8 8 9
M 8 9 4
M 9 0 12
M 9 1 13
M 9 2 16
M 9 3 12
M 9 4 12
J 9 5 10
M 9 6 9
M 9 7 9
M 9 8 7
M 9 9 3
